Processo,Classe,Assunto,Comarca,Ano,Especializada
4002704-90.2024.8.04.0000,Mandado de Segurança,Promoção de Investigador de Polícia,Tribunal De Justiça,2024.0,CPRAC - PPC
0466194-86.2024.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0465726-25.2024.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0465725-40.2024.8.04.0001,Homologação de Transação Extrajudicial,Abono de permanência em serviço,Comarca de Manaus,2024.0,CPRAC - PPC
0466218-17.2024.8.04.0001,Homologação de Transação Extrajudicial,Indenização de licença especial,Comarca de Manaus,2024.0,CPRAC - PPC
0471869-30.2024.8.04.0001,Homologação de Transação Extrajudicial,Enquadramento,Comarca de Manaus,2024.0,CPRAC - PPC
0472528-39.2024.8.04.0001,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002823-51.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002767-18.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
4002821-81.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
0410112-35.2024.8.04.0001,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0477300-45.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477302-15.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477307-37.2024.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477539-49.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479532-30.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção,Comarca de Manaus,2024.0,CPRAC - PPC
0479554-88.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479549-66.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479550-51.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477301-30.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477304-82.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477312-59.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477535-12.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477553-33.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477580-16.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479535-82.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479543-59.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479557-43.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477584-53.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção,Comarca de Manaus,2024.0,CPRAC - PPC
0479542-74.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479555-73.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477310-89.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477537-79.2024.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477585-38.2024.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477556-85.2024.8.04.0001,Procedimento Comum,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477303-97.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477314-29.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477545-56.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477583-68.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479809-46.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479800-84.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479808-61.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0477308-22.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0480446-94.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
