Processo,Classe,Assunto,Comarca,Ano,Especializada
0183863-07.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0183589-43.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0183611-04.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0185021-97.2025.8.04.1000,Reclamação Pré-processual,Abono de permanência em serviço,Comarca de Manaus,2025.0,CPRAC - PPC
0183662-15.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0183799-94.2025.8.04.1000,Reclamação Pré-processual,3a Parcela Escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0183756-60.2025.8.04.1000,Reclamação Pré-processual,4a Parcela Escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0184129-91.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0184828-82.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0184051-97.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0174547-67.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0179682-60.2025.8.04.1000,Procedimento Comum,Indenização de férias,Comarca de Manaus,2025.0,CPRAC - PPC
0089560-98.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0601185-33.2023.8.04.6500,Procedimento Comum,Gratificação de curso,Comarca de Presidente Figueiredo,2023.0,CPRAC - PPC
0183027-34.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0183141-70.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0138766-81.2025.8.04.1000,Procedimento Comum,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0004606-19.2025.8.04.7500,Procedimento Comum,Pagamento retroativo a progressão funcional,Comarca de Tefé,2025.0,CPRAC - PPC
0182956-32.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0183609-34.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0116247-15.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0108496-74.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Indenização de licença especial,Comarca de Manaus,2025.0,CPRAC - PPC
0211728-05.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0213316-47.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Implementação de escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0017253-49.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Retroativo de escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0202535-63.2025.8.04.1000,Procedimento Comum,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0190071-07.2025.8.04.1000,Procedimento Comum,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0062533-43.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0000855-66.2025.8.04.3800,Procedimento Comum,Indenização de licença especial,Comarca de Coari,2025.0,CPRAC - PPC
0142226-76.2025.8.04.1000,Procedimento Comum,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0215638-40.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0215827-18.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Retroativo de escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0163302-59.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0125915-10.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0191445-58.2025.8.04.1000,Procedimento Comum,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0195910-13.2025.8.04.1000,Procedimento Comum,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0183718-48.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0184850-43.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0163412-58.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Retroativo de escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0193760-59.2025.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0184838-29.2025.8.04.1000,Reclamação Pré-processual,3a Parcela Escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0184880-78.2025.8.04.1000,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0184981-18.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0185099-91.2025.8.04.1000,Reclamação Pré-processual,Abono de permanência em serviço,Comarca de Manaus,2025.0,CPRAC - PPC
0185062-64.2025.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0184110-85.2025.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0118899-05.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0000912-98.2025.8.04.5800,Procedimento Comum,Pagamento retroativo a progressão funcional,Comarca de Maués,2025.0,CPRAC - PPC
0194869-11.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0194559-05.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0211258-71.2025.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0197215-32.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0218706-95.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0218725-04.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0136660-49.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0049569-18.2025.8.04.1000,Procedimento Comum,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0194317-46.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0198238-13.2025.8.04.1000,Procedimento Comum,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0148301-34.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Indenização de licença especial,Comarca de Manaus,2025.0,CPRAC - PPC
0184830-52.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0183831-02.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0184865-12.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0184063-14.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0221135-35.2025.8.04.1000,Procedimento Comum,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0218248-78.2025.8.04.1000,Procedimento Comum,Retroativo de escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0222605-04.2025.8.04.1000,Procedimento Comum,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0219064-60.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Adicional por tempo de serviço,Comarca de Manaus,2025.0,CPRAC - PPC
0211511-59.2025.8.04.1000,Procedimento Comum,Retroativo de escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0203395-64.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0203705-70.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Indenização de férias,Comarca de Manaus,2025.0,CPRAC - PPC
0204486-92.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0185081-70.2025.8.04.1000,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0220011-17.2025.8.04.1000,Procedimento Comum,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0006007-41.2025.8.04.4400,Procedimento do Juizado da Fazenda Pública,Retroativo de escalonamento,Comarca de Humaitá,2025.0,CPRAC - PPC
0204576-03.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0206103-87.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0206055-31.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
,Procedimento Comum,Reajuste de remuneração,Comarca de Manaus,,CPRAC - PPC
0183634-47.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0205449-03.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0208419-73.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0207497-32.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0208483-83.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0202236-86.2025.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0188410-90.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Valores Retroativos do abono de permanência,Comarca de Manaus,2025.0,CPRAC - PPC
0174976-34.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0225540-17.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0226662-65.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0225846-83.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0226489-41.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231959-53.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231702-28.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231446-85.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0233100-10.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231936-10.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231664-16.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228095-07.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227257-64.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0145570-65.2025.8.04.1000,Procedimento Comum,Retroativo de escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0203002-42.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Diferença de remuneração decorrente de progressão funcional,Comarca de Manaus,2025.0,CPRAC - PPC
0207544-06.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0204443-58.2025.8.04.1000,Procedimento do Juizado da Fazenda Pública,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0241525-26.2025.8.04.1000,Reclamação Pré-processual,Férias,Comarca de Manaus,2025.0,CPRAC - PPC
0241575-52.2025.8.04.1000,Reclamação Pré-processual,Férias,Comarca de Manaus,2025.0,CPRAC - PPC
0074037-46.2025.8.04.1000,Reclamação Pré-processual,Férias,Comarca de Manaus,2025.0,CPRAC - PPC
0183617-11.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0001593-56.2025.8.04.2700,Procedimento do Juizado da Fazenda Pública,Pagamento retroativo a progressão funcional,Comarca de Barreirinha,2025.0,CPRAC - PPC
0242573-20.2025.8.04.1000,Reclamação Pré-processual,Férias,Comarca de Manaus,2025.0,CPRAC - PPC
0242695-33.2025.8.04.1000,Reclamação Pré-processual,Férias,Comarca de Manaus,2025.0,CPRAC - PPC
0244594-66.2025.8.04.1000,Reclamação Pré-processual,Férias,Comarca de Manaus,2025.0,CPRAC - PPC
0229514-62.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232282-58.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0225813-93.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228873-74.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229476-50.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0233219-68.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229937-22.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0234337-79.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228898-87.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229560-51.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229849-81.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0233188-48.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0226739-74.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229689-56.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227000-39.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229879-19.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229575-20.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0218335-34.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229875-79.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230011-76.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230162-42.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229752-81.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230037-74.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227808-44.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229553-59.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230970-47.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229905-17.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229583-94.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230014-31.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232245-31.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230160-72.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227770-32.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228978-51.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230113-98.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229625-46.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232325-92.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230005-69.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229658-36.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231505-73.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229021-85.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229097-12.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232495-64.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228539-40.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229147-38.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227282-77.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229529-31.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229952-88.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0225510-79.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229482-57.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0218056-48.2025.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0228140-11.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228026-72.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229175-06.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228957-75.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0217616-52.2025.8.04.1000,Reclamação Pré-processual,Gratificação de curso,Comarca de Manaus,2025.0,CPRAC - PPC
0228580-07.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229600-33.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229645-37.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229102-34.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0226555-21.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229484-27.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228065-69.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229520-69.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0226825-45.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228945-61.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227825-80.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0226851-43.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0226532-75.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228910-04.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229465-21.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228742-02.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228852-98.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230927-13.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229955-43.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231064-92.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0218911-27.2025.8.04.1000,Reclamação Pré-processual,4a Parcela Escalonamento,Comarca de Manaus,2025.0,CPRAC - PPC
0229077-21.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227096-54.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230978-24.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229938-07.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230145-06.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229651-44.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229499-93.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230155-50.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0225444-02.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232329-32.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230098-32.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230109-61.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230324-37.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229058-15.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229152-60.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230936-72.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0228626-93.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232295-57.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0230371-11.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229009-71.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232302-49.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0229968-42.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231068-32.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231125-50.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231287-45.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227899-37.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231129-87.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0232504-26.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0231371-46.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
0227177-03.2025.8.04.1000,Reclamação Pré-processual,Data base de servidor público,Comarca de Manaus,2025.0,CPRAC - PPC
